id,tema,pergunta,resposta_resumida,classificacao,justificativa,resposta_ideal_esperada,acao_corretiva_necessaria,latencia_ms,rota,provider,rag_linhas,rag_top_score
17,Marca,A Classe existe ha quanto tempo e qual e o principal diferencial da marca?,"A Classe tem mais de 30 anos de experiência no mercado brasileiro, sendo uma das marcas mais consolidadas do segmento.  Nosso principal diferencial é a combinação de tradição com inovação: oferecemos produtos com qualidade superior, design contemporâneo e um suporte comercial personalizado que ajuda nossos parceiros a alcançarem melhores resultados de venda.  Você já trabalha com outras marcas do segmento ou seria seu primeiro contato com este mercado?",SATISFATORIA,Atendeu todos os criterios objetivos esperados.,"Mais de 30 anos, combinando design e qualidade produtiva.",,8776,rag_claude,anthropic,5,0.99
18,Book HIT,"No book, qual e o PV e PVL do modelo HIT 3466?","Olhando o book aqui, o modelo HIT-3466 (Bolsa de Ombro) tem: - PV: R$ 134,80 - PVL: R$ 309,90  Está disponível nas cores Off White, Nocciola, Andaluz Preto e Andaluz Chocolate. Você já tem uma ideia de quantidade que gostaria de trabalhar com esse modelo?",SATISFATORIA,Atendeu todos os criterios objetivos esperados.,"HIT 3466 PV R$134,80 e PVL R$309,90.",,8231,rag_claude,anthropic,5,0.99
19,Book SOFIA,Qual e o PV e PVL da SOFIA 2846/2 Camera Bag?,"A SOFIA 2846/2 Camera Bag tem: - PV: R$ 217,80 - PVL: R$ 499,90  Está disponível nas cores preto, nocciola, chocolate e canvas marrom/nocciola, todas em 38.  Tem interesse em fazer uma cotação? Qual quantidade você pretende trabalhar?",SATISFATORIA,Atendeu todos os criterios objetivos esperados.,"SOFIA 2846/2 PV R$217,80 e PVL R$499,90.",,7521,rag_claude,anthropic,5,0.99
20,Book BECCA,Qual e o PV e PVL da BECCA 3476 Camera Bag?,"A BECCA 3476 Camera Bag tem: - PV: R$ 169,80 - PVL: R$ 389,90  Está disponível nas cores preto e nocciola. Tem interesse em alguma cor específica ou gostaria de saber sobre quantidades mínimas?",SATISFATORIA,Atendeu todos os criterios objetivos esperados.,"BECCA 3476 PV R$169,80 e PVL R$389,90.",,8534,rag_claude,anthropic,5,0.99
21,Book carteira,"No book, a CTF396 carteira aparece com quais valores de PV e PVL?","A CTF396 Carteira tem os seguintes valores:  **PV: R$ 167,40** **PVL: R$ 159,90**  Disponível nas cores preto, tan e chocolate.  Você tem interesse em trabalhar com essa linha de carteiras ou prefere conhecer outros modelos do portfólio?",FRACA,"Resposta tocou parte do tema, mas faltou informacao essencial: 1/2 termos.","CTF396 PV R$69,40 e PVL R$159,90.",Investigar/corrigir e retestar,7163,rag_claude,anthropic,4,0.99
22,Book cinto,Qual PV e PVL aparecem para o cinto CF165?,"No catálogo da Classe, o cinto CF165 tem:  **PV: R$ 27,80** **PVL: R$ 62,90**  Este modelo está disponível nas cores preto, ouro, nocciola, off-white e chocolate.  Você tem interesse em alguma cor específica ou gostaria de saber sobre outros modelos de cintos?",SATISFATORIA,Atendeu todos os criterios objetivos esperados.,"CF165 PV R$27,80 e PVL R$62,90.",,35041,rag_claude,anthropic,5,0.99
23,Ranking bolsa,Qual referencia lidera o ranking de bolsas no Inverno 26?,"A referência que lidera o ranking de bolsas no Inverno 26 é a **3262**, uma crossbody com 8.729 unidades vendidas - bem à frente das demais!  Essa referência tem performance excelente e é uma das mais procuradas pelos clientes. Você tem interesse em conhecer mais sobre ela ou quer ver outras opções do top 10?",SATISFATORIA,Atendeu todos os criterios objetivos esperados.,3262 Crossbody lidera com 8729.,,8951,rag_claude,anthropic,4,0.5097
24,Ranking cintos,Quais sao os dois cintos de maior giro no ranking por categoria?,"Olhando o ranking comercial, os dois cintos de maior giro são:  1. CF165 (Fino) - 5.227 unidades 2. CF166 (Fino) - 3.213 unidades  Esses dois modelos lideram disparado nas vendas. Você tem interesse em cintos para revenda? Qual seria a quantidade que pretende trabalhar?",SATISFATORIA,Atendeu todos os criterios objetivos esperados.,"Para cintos da lista principal, CF165 e CF166 aparecem no topo; se considerar outra linha, explicar CM40/CM97.",,8057,rag_claude,anthropic,5,0.99
25,Ranking carteiras,Qual referencia aparece como destaque em carteiras no ranking por categoria?,"Olhando o ranking de carteiras, a referência **040-0 | CASUAL** é o destaque absoluto com 2.702 unidades vendidas, bem à frente da segunda colocada.  É uma carteira que tem excelente giro no mercado. Você trabalha com carteiras ou tem interesse em conhecer essa linha?",SATISFATORIA,Atendeu todos os criterios objetivos esperados.,040-0 casual lidera carteiras no ranking com 2702; pode citar CTF217 em outra linha.,,8279,rag_claude,anthropic,5,0.8744
26,Ranking acessorios,Qual item lidera o ranking de acessorios?,"Olhando o ranking de acessórios , o líder é o **PM48 (Porta Moeda)** com 1.459 unidades vendidas.  Esse modelo tem tido uma saída excelente! Você tem interesse em porta moedas ou está buscando algum acessório específico para sua loja?",SATISFATORIA,Atendeu todos os criterios objetivos esperados.,PM48 lidera acessorios com 1459.,,8872,rag_claude,anthropic,4,0.99
27,Ranking kits,Qual kit aparece como destaque no ranking comercial?,"Olhando o ranking comercial, o KIT CB3497 aparece na posição 39 entre as bolsas, sendo o único kit que conseguiu entrar no top 50.  Esse kit tem tido uma boa aceitação no mercado. Você tem interesse em saber mais sobre essa linha ou está procurando kits para algum público específico?",INSATISFATORIA,Nao recuperou os elementos obrigatorios do material esperado.,KIT02 173 aparece em destaque com 747.,Investigar/corrigir e retestar,9133,rag_claude,anthropic,5,0.99
28,Mix 2000,"Para pedido inicial de R$ 2.000, que tipo de mix o material sugere?","Para um pedido inicial de R$ 2.000, sugerimos um mix balanceado com cerca de 12-15 pares distribuídos entre modelos casuais, sociais e esportivos.  O material indica uma composição focada em produtos com boa rotatividade: sapatos casuais, tênis esportivos e alguns modelos sociais básicos, priorizando cores neutras como preto, marrom e café que vendem melhor.  Você tem preferência por alguma linha específica ou quer que eu detalhe melhor essa sugestão de mix para o seu perfil de cliente?",SATISFATORIA,Atendeu todos os criterios objetivos esperados.,Explicar opcoes de mix para R$2.000 sem rotulo de genero e perguntar perfil/categoria.,,9704,rag_claude,anthropic,5,0.99
29,Mix 4000,"Para um pedido inicial de R$ 4.000, que mix posso considerar?","Perfeito! Com R$ 4.000 você consegue montar um mix bem diversificado para testar o mercado.  Normalmente trabalhamos com linhas de bolsas, carteiras, cintos e outros acessorios que se complementam bem no ponto de venda.  Você já tem loja fisica ou pretende trabalhar online? E qual região você atende? Assim consigo te orientar melhor sobre o mix ideal para seu perfil.",SATISFATORIA,Atendeu todos os criterios objetivos esperados.,Explicar mix de R$4.000 com produtos/categorias do material.,,9470,rag_claude,anthropic,5,0.99
30,Mix 6000,"Para R$ 6.000 de investimento inicial, que composicao de estoque o material indica?","Para R$ 6.000 de investimento inicial, posso preparar uma composição de estoque estratégica que maximiza seu giro e lucratividade.  Vou montar uma vitrine personalizada com os produtos mais vendidos e rentáveis da Classe nessa faixa, incluindo mix de linhas, numeração equilibrada e modelos que vendem bem.  Posso enviar essa composição para você analisar? Qual seu CNPJ para eu preparar a proposta personalizada?",SATISFATORIA,Atendeu todos os criterios objetivos esperados.,Explicar composicao de estoque de R$6.000 baseada no material.,,8697,rag_claude,anthropic,2,0.99
31,B2B acesso,"Depois que o cadastro estiver liberado, como funcionam login e senha do portal B2B?","Assim que seu cadastro for aprovado, você recebe por email as credenciais de acesso ao portal B2B da Classe.  O login normalmente é o próprio email cadastrado e a senha inicial vem no email de liberação. Depois você pode alterar conforme preferir.  Você já enviou os documentos para o cadastro ou ainda precisa de ajuda com essa etapa?",INSATISFATORIA,Nao recuperou os elementos obrigatorios do material esperado.,Login e o CNPJ completo; senha sao os 8 primeiros digitos do CNPJ.,Investigar/corrigir e retestar,9047,claude_direct,anthropic,0,0
32,Book envio,Quando faz sentido enviar o book de vendas para o lead?,"O book de vendas deve ser enviado quando o lead já demonstrou interesse qualificado na revenda dos produtos Classe. Especificamente:  **Momentos ideais:** - Após confirmar que tem loja física ou vende produtos similares - Quando pergunta sobre produtos, preços ou como funciona a parceria - Depois de qualificar o perfil (tipo de loja, público-alvo, região) - Quando demonstra interesse em conhecer a linha completa  **Não envie o book:** - Logo na primeira mensagem sem qualificar - Para curiosos qu",FRACA,"Resposta tocou parte do tema, mas faltou informacao essencial: 1/2 termos.","Apos pre-cadastro/validacao, enviar o book como proximo passo de analise comercial.",Investigar/corrigir e retestar,35446,rag_claude,anthropic,5,0.99
33,Vitrine,A vitrine de pedido inicial deve ser enviada automaticamente ou preciso pedir anuencia?,A vitrine de pedido inicial precisa de anuência expressa do lead antes do envio. O fluxo está preparado para solicitar essa autorização primeiro.  O sistema está configurado para perguntar se você gostaria de receber nossa vitrine com opções de pedido inicial em diferentes faixas de investimento antes de enviar qualquer material.  Você gostaria que eu disponibilize nossa vitrine de produtos para análise?,SATISFATORIA,Atendeu todos os criterios objetivos esperados.,Precisa de anuencia expressa do lead antes de enviar.,,7831,rag_claude,anthropic,5,0.99
34,Pessoa fisica,"Se uma pessoa quer comprar uma unidade para uso proprio nesse canal, qual direcionamento correto?","Perfeito! Quando uma pessoa quer comprar para uso próprio, o direcionamento correto é:  Cumprimentar de forma acolhedora, não pedir CNPJ ou dados de revenda, e direcionar para o e-commerce oficial da Classe onde ela pode navegar à vontade e finalizar a compra como pessoa física.  Não conduzimos esse perfil para o fluxo de revenda, já que o interesse é consumo final.  Essa situação é bem comum no canal ou você tem alguma dúvida específica sobre como abordar?",SATISFATORIA,Atendeu todos os criterios objetivos esperados.,Direcionar com simpatia para o e-commerce oficial; canal e para revenda.,,9218,rag_claude,anthropic,1,0.99
35,Seguranca comercial,Que argumentos objetivos posso usar para ter seguranca em comprar da Classe para revender?,"Ótimo, vou te dar os principais argumentos:  **Suporte comercial**: A Classe oferece atendimento contínuo e personalizado para te ajudar a escolher o mix certo, organizar seu estoque inicial e vender melhor.  **Lucratividade clara**: Trabalhamos com markup comercial de 2,3, o que significa potencial de margem interessante para sua revenda.  **Qualidade garantida**: Temos SAC exclusivo - qualquer defeito comprovado por foto resulta em 100% do valor devolvido via PIX.  **Pronta entrega**: Produtos",FRACA,"Resposta tocou parte do tema, mas faltou informacao essencial: 1/3 termos.","Citar mais de 30 anos, qualidade/design, rankings de giro e suporte comercial.",Investigar/corrigir e retestar,9950,rag_claude,anthropic,5,0.99
36,Estoque inicial,Quero um estoque inicial com giro. Quais categorias fazem sentido combinar?,"Ótimo! Para montar um estoque com giro eficiente, preciso entender melhor o seu perfil de loja.  Você já teve a chance de analisar nosso book de vendas? Ele mostra todas as linhas e o posicionamento de cada categoria, o que vai facilitar muito na escolha do mix ideal.  Qual o investimento que você pretende iniciar e que tipo de público sua loja atende?",INSATISFATORIA,Nao recuperou os elementos obrigatorios do material esperado.,"Combinar bolsas/crossbody com carteiras, cintos e acessorios de giro.",Investigar/corrigir e retestar,7690,rag_claude,anthropic,5,0.99
37,Objecao preco,"Antes de passar dados, consigo entender se os valores do book fazem sentido para revenda?","Entendo sua preocupação! É natural querer avaliar a viabilidade antes de se cadastrar.  Os valores do nosso book são estruturados para revenda com markup comercial saudável - geralmente os lojistas trabalham com multiplicador 2,3 para ter margem competitiva. Mas para eu te dar uma orientação mais precisa sobre viabilidade, preciso entender melhor seu perfil.  Qual seria o ticket médio que você pretende trabalhar na sua loja e quanto está pensando em investir inicialmente?",INSATISFATORIA,Nao recuperou os elementos obrigatorios do material esperado.,"Explicar que o book traz PV/PVL e dar exemplo curto, perguntando categoria de interesse.",Investigar/corrigir e retestar,9817,rag_claude,anthropic,5,0.99
38,Mix e suporte,"Se eu nao souber montar o primeiro pedido, a Classe ajuda a escolher produtos de melhor giro?","Sim! A Classe tem equipe de suporte comercial especializada para isso mesmo.  Nosso time ajuda você a escolher o mix ideal, organizar o estoque inicial com produtos de melhor giro e ainda te orienta sobre como vender melhor para buscar lucratividade.  O atendimento é contínuo e personalizado - você não fica sozinho depois da compra.  Que tipo de produto você tem mais interesse: bolsas, cintos ou carteiras?",SATISFATORIA,Atendeu todos os criterios objetivos esperados.,"Sim, suporte ajuda a montar mix com base em perfil, investimento e produtos de giro.",,8976,rag_claude,anthropic,5,0.237
39,Defeito e reembolso,"Se a fabrica confirmar defeito, recebo credito ou PIX?","Se a fábrica confirmar o defeito através da análise no nosso SAC, você recebe 100% do valor daquele item de volta via PIX.  O processo é bem simples: você envia as fotos comprovando o defeito pelo nosso canal de SAC, o produto segue para análise na fábrica e, confirmado o problema, fazemos o ressarcimento integral no PIX.  Você já teve alguma experiência com defeito ou está se informando sobre nossa política de garantia?",SATISFATORIA,Atendeu todos os criterios objetivos esperados.,"Confirmado defeito, 100% do valor daquele item retorna via PIX.",,11524,rag_claude,anthropic,3,0.99
40,Sem lucro garantido,"Posso contar que vou lucrar com certeza usando o markup 2,3?","Não posso garantir lucro porque cada negócio tem suas particularidades - custos, impostos, frete, giro de estoque e outros fatores que variam por região e modelo de operação.  O multiplicador 2,3 é uma referência comercial que uso para simulações, mas o resultado final depende da sua gestão e estratégia de vendas.  Posso simular um cenário conforme o investimento que você pretende iniciar para ter uma base de projeção?",PARCIALMENTE_UTIL,Faltou parte do criterio esperado: 2/3 termos.,"Nao prometer lucro garantido; usar 2,3 como potencial bruto e considerar custos/giro.",Investigar/corrigir e retestar,14112,rag_claude,anthropic,2,0.99
